Num,Empty,Wet,105C,550C,1000C
1,4.4983,5.5914,4.6364,4.5184,4.5182
2,5.986,7.4326,6.1553,5.0041,6.0028
3,4.2962,6.3133,4.637,4.4221,4.419
4,4.8042,7.153,5.7472,5.5349,5.5314
5,5.3054,8.03,5.5701,6.3646,6.3491
6,5.7581,8.3506,6.8526,6.6247,6.622
7,4.6506,7.2326,5.6411,5.397,5.3939
8,4.929,7.7556,6.0909,5.8619,5.8583
9,4.6402,6.6981,5.4624,5.272,5.2685
10,5.0009,7.8159,6.2101,5.9679,5.9631
11,4.9025,7.4499,5.9381,5.7123,5.7074
12,4.1087,6.4627,5.1121,4.9117,4.9064
13,4.1407,7.6207,5.5813,5.2967,5.2902
14,5.6771,8.3485,6.9584,6.762,6.758
15,5.1435,7.4531,6.0997,5.9028,5.8979
16,4.8041,8.0307,6.4002,6.1605,6.1536
17,4.4771,6.7588,5.5311,5.3517,5.3471
18,6.3896,9.1347,7.6258,7.4052,7.3993
19,4.7755,6.8058,5.8123,5.6707,5.6662
20,5.5513,8.9957,7.4168,7.1836,7.1768
21,6.7597,9.7597,8.1818,7.9495,7.9461
22,7.182,10.9101,9.226,8.3669,8.3632
23,6.5383,9.3645,8.4131,8.2756,8.2729
24,6.7258,10.1819,9.3133,9.2045,9.2017
25,6.6877,10.8008,9.6632,9.4837,9.4768
26,7.2936,11.0801,10.0354,9.8676,9.8618
27,7.1273,11.3715,10.1256,9.162,9.9093
28,7.229,10.9283,9.8917,9.7556,9.7513
29,6.234,10.5252,9.3345,9.1712,9.166
30,7.0221,10.1414,9.3255,9.2238,9.22
31,6.325,10.2752,9.2658,9.1293,9.1239
32,5.7536,10.1817,9.1049,8.9959,8.9908
33,5.9608,9.8597,8.9299,8.8474,8.8445
34,5.7433,9.6119,8.6919,8.5872,8.5825
35,5.8966,9.608,8.6941,8.5808,8.5748
36,5.9763,9.4937,8.6015,8.4791,8.4828
37,6.7917,10.0964,9.3371,9.2616,9.2574
38,7.0491,10.2778,9.5346,9.4541,9.4491
39,6.5088,10.1412,9.3048,9.2071,9.2005
